"logRe_J" "logIe_J" "logsigma" "elogRe_J" "elogIe_J" "elogsigma"
0.284 3.328 2.128 0.056 0.083 0.107
-0.032 3.526 2.079 0.053 0.078 0.088
0.192 3.366 2.328 0.041 0.061 0.04
0.398 3.082 2.189 0.056 0.083 0.079
0.102 3.632 2.439 0.055 0.082 0.029
0.103 3.441 2.288 0.059 0.087 0.044
0.161 3.215 2.115 0.032 0.048 0.059
0.495 2.989 2.343 0.038 0.056 0.024
0.06 3.529 2.345 0.041 0.061 0.052
-0.083 3.222 2.105 0.041 0.061 0.1
0.359 3.244 2.392 0.053 0.079 0.05
-0.004 3.214 2.056 0.043 0.064 0.048
0.259 3.143 2.308 0.041 0.061 0.034
0.17 3.279 2.29 0.064 0.095 0.048
0.56 2.767 2.264 0.055 0.081 0.044
0.594 2.823 2.313 0.044 0.065 0.035
0.51 2.823 2.074 0.044 0.066 0.082
0.08 3.13 2.132 0.06 0.089 0.123
0.621 3.053 2.366 0.037 0.054 0.022
0.392 3.238 2.338 0.032 0.048 0.033
0.225 3.112 2.143 0.049 0.073 0.043
0.143 3.395 2.23 0.032 0.048 0.057
0.648 2.839 2.259 0.043 0.064 0.079
0.145 3.492 2.328 0.032 0.048 0.025
-0.028 3.184 2.138 0.045 0.066 0.089
0.057 3.287 2.203 0.036 0.053 0.036
-0.214 3.584 2.265 0.048 0.071 0.039
0.167 3.284 2.195 0.062 0.092 0.058
0.434 3.154 2.207 0.05 0.074 0.103
0.285 3.318 2.31 0.057 0.084 0.053
-0.145 3.371 2.083 0.042 0.062 0.075
0.221 3.061 2.188 0.064 0.094 0.093
0.395 2.986 2.219 0.037 0.055 0.043
0.198 3.281 2.373 0.063 0.093 0.04
0.367 3.159 2.253 0.055 0.081 0.072
0.366 3.238 2.297 0.041 0.06 0.047
0.124 3.124 2.247 0.035 0.052 0.027
0.219 3.01 2.255 0.034 0.05 0.03
0.709 2.978 2.462 0.032 0.048 0.015
0.044 3.35 2.137 0.061 0.09 0.094
0.001 3.393 2.293 0.033 0.05 0.023
0.211 3.479 2.329 0.055 0.081 0.035
0.688 2.908 2.254 0.04 0.059 0.063
0.341 3.186 2.219 0.056 0.083 0.09
0.307 3.329 2.271 0.055 0.081 0.044
0.239 3.13 2.136 0.062 0.092 0.093
0.538 3.037 2.284 0.047 0.07 0.039
0.312 3.142 2.228 0.047 0.07 0.056
0.006 3.314 2.157 0.039 0.058 0.067
0.124 3.431 2.192 0.064 0.095 0.07
0.144 3.331 2.229 0.064 0.095 0.07
0.275 3.345 2.322 0.047 0.069 0.025
0.265 3.371 2.303 0.032 0.048 0.026
0.484 3.022 2.255 0.05 0.075 0.037
0.308 3.028 2.152 0.054 0.08 0.077
0.24 3.156 2.248 0.041 0.061 0.044
0.384 3.078 2.168 0.043 0.064 0.043
0.668 2.409 2.16 0.056 0.083 0.098
0.195 3.074 2.157 0.051 0.076 0.06
0.345 2.988 2.218 0.062 0.091 0.065
-0.018 3.439 2.298 0.035 0.051 0.026
0.546 3.057 2.457 0.045 0.067 0.033
-0.008 3.577 2.423 0.046 0.068 0.037
0.176 3.356 2.347 0.06 0.089 0.043
0.456 3.083 2.22 0.051 0.076 0.076
0.623 2.756 2.216 0.052 0.077 0.098
0.259 3.178 2.159 0.062 0.093 0.087
0.774 2.967 2.396 0.032 0.048 0.028
0.017 3.274 2.08 0.04 0.059 0.051
0.694 2.748 2.131 0.044 0.065 0.136
0.409 3.131 2.377 0.053 0.079 0.096
0.411 3.026 2.198 0.032 0.048 0.022
0.191 3.273 2.198 0.062 0.092 0.06
0.277 3.291 2.347 0.032 0.048 0.074
-0.048 3.262 2.09 0.06 0.088 0.172
0.196 3.242 2.218 0.032 0.048 0.052
0.458 3.115 2.272 0.046 0.069 0.035
0.494 2.832 2.28 0.059 0.088 0.127
0.379 3.316 2.338 0.046 0.068 0.06
0.416 3.032 2.226 0.047 0.07 0.042
0.251 3.193 2.204 0.049 0.073 0.04
0.094 3.655 2.271 0.055 0.082 0.077
0.22 3.412 2.462 0.054 0.08 0.04
0.088 3.534 2.308 0.052 0.077 0.031
0.395 3.119 2.341 0.037 0.055 0.04
0.297 3.156 2.244 0.062 0.092 0.053
0.497 3.039 2.29 0.049 0.072 0.053
0.515 2.939 2.289 0.05 0.074 0.053
0.301 3.292 2.333 0.032 0.048 0.03
0.354 2.821 2.09 0.033 0.049 0.069
0.202 3.376 2.232 0.039 0.058 0.069
0.372 3.296 2.395 0.047 0.07 0.035
0.578 2.881 2.314 0.049 0.072 0.059
0.408 2.926 2.244 0.062 0.092 0.095
0.226 3.006 2.141 0.052 0.077 0.129
0.489 2.941 2.193 0.054 0.081 0.093
0.106 3.265 2.119 0.06 0.089 0.057
0.138 3.508 2.448 0.036 0.053 0.034
0.05 3.125 2.179 0.041 0.06 0.082
0.273 3.053 2.248 0.066 0.098 0.093
0.308 2.727 2.108 0.053 0.079 0.144
-0.077 3.363 2.28 0.044 0.065 0.047
0.066 3.371 2.161 0.047 0.069 0.063
0.507 3.028 2.324 0.041 0.061 0.053
0.471 2.866 2.265 0.046 0.068 0.052
0.289 3.27 2.255 0.057 0.084 0.057
0.156 3.03 2.341 0.053 0.079 0.071
0.637 2.979 2.386 0.038 0.057 0.034
0.603 2.603 2.065 0.036 0.054 0.111
-0.018 3.486 2.261 0.061 0.09 0.052
0.19 3.156 2.155 0.035 0.051 0.042
0.004 3.215 2.149 0.047 0.069 0.054
0.109 3.328 2.129 0.054 0.08 0.055
0.234 3.282 2.353 0.062 0.092 0.041
0.341 2.977 2.192 0.032 0.048 0.033
-0.101 3.539 2.197 0.042 0.063 0.048
0.225 3.253 2.243 0.032 0.048 0.022
0.15 3.392 2.316 0.054 0.08 0.024
0.068 3.186 2.09 0.053 0.079 0.16
0.068 3.665 2.31 0.057 0.084 0.067
0.474 2.996 2.341 0.053 0.078 0.056
0.171 3.452 2.317 0.054 0.08 0.042
0.21 2.925 2.213 0.051 0.076 0.102
0.352 3.215 2.294 0.043 0.064 0.028
0.311 3.467 2.228 0.032 0.048 0.02
0.238 3.343 2.202 0.048 0.071 0.038
0.392 3.144 2.339 0.047 0.07 0.051
0.389 3.098 2.086 0.046 0.068 0.151
0.476 3.083 2.299 0.04 0.059 0.053
0.253 3.085 2.238 0.059 0.087 0.076
0.291 3.216 2.179 0.05 0.074 0.039
-0.162 3.721 2.392 0.049 0.073 0.075
0.114 3.546 2.333 0.051 0.075 0.033
-0.137 3.695 2.204 0.061 0.091 0.07
-0.004 3.621 2.331 0.032 0.048 0.024
0.486 2.995 2.257 0.053 0.078 0.047
0.365 3.356 2.369 0.032 0.048 0.032
0.164 3.441 2.166 0.058 0.087 0.075
0.351 3.004 2.182 0.048 0.072 0.114
-0.165 3.719 2.123 0.056 0.082 0.058
0.383 3.251 2.301 0.05 0.074 0.089
0.089 3.222 2.121 0.039 0.058 0.077
0.556 2.926 2.295 0.047 0.07 0.045
0.473 2.718 2.071 0.044 0.066 0.145
0.347 3.15 2.321 0.047 0.07 0.056
0.182 3.266 2.32 0.064 0.095 0.048
0.386 3.13 2.266 0.032 0.048 0.041
0.37 2.955 2.227 0.063 0.093 0.073
0.507 3.24 2.566 0.04 0.059 0.04
0.267 3.123 2.121 0.064 0.095 0.069
0.178 3.295 2.284 0.047 0.069 0.067
0.256 3.249 2.21 0.051 0.075 0.04
0.49 2.936 2.096 0.034 0.051 0.118
0.132 3.561 2.249 0.032 0.048 0.042
0.334 3.27 2.303 0.032 0.048 0.019
0.151 3.489 2.41 0.034 0.051 0.023
0.134 3.47 2.448 0.057 0.084 0.042
0.441 3.063 2.34 0.032 0.048 0.027
0.179 2.913 2.23 0.056 0.083 0.079
0.336 3.194 2.185 0.053 0.079 0.042
0.572 2.887 2.372 0.052 0.077 0.068
0.655 2.601 2.272 0.046 0.068 0.058
0.314 3.099 2.223 0.053 0.079 0.03
0.413 2.903 2.33 0.063 0.093 0.07
0.467 3.089 2.296 0.049 0.073 0.079
0.695 2.532 2.236 0.044 0.065 0.088
0.297 3.212 2.181 0.059 0.088 0.091
0.526 2.981 2.436 0.05 0.075 0.061
0.482 2.764 2.252 0.053 0.078 0.079
0.372 3.133 2.18 0.054 0.08 0.061
0.686 2.524 2.108 0.054 0.079 0.14
0.002 3.567 2.253 0.058 0.086 0.036
0.403 2.969 2.257 0.053 0.078 0.053
0.334 3.07 2.266 0.059 0.087 0.11
0.016 3.601 2.151 0.059 0.087 0.115
0.132 3.289 2.239 0.057 0.084 0.067
-0.031 3.255 2.111 0.06 0.089 0.129
0.103 3.395 2.261 0.058 0.086 0.042
0.509 2.917 2.304 0.032 0.048 0.034
0.21 3.166 2.235 0.053 0.079 0.086
0.592 2.796 2.345 0.047 0.07 0.08
0.069 3.514 2.126 0.058 0.086 0.059
0.245 3.149 2.208 0.057 0.085 0.039
0.083 3.205 2.055 0.032 0.048 0.027
0.512 2.976 2.26 0.05 0.074 0.115
0.235 3.201 2.388 0.032 0.048 0.036
0.429 2.876 2.172 0.06 0.089 0.067
0.322 3.283 2.315 0.049 0.073 0.033
0.303 3.365 2.24 0.032 0.048 0.023
0.514 3.308 2.413 0.032 0.048 0.027
0.433 3.244 2.427 0.032 0.048 0.047
0.218 3.386 2.351 0.056 0.083 0.048
0.514 2.793 2.052 0.059 0.087 0.133
0.854 2.604 2.348 0.04 0.059 0.025
0.48 2.991 2.116 0.053 0.079 0.07
0.311 3.234 2.36 0.056 0.083 0.027
0.027 3.028 2.087 0.053 0.078 0.112
0.622 2.851 2.408 0.048 0.072 0.052
0.345 2.888 2.24 0.061 0.091 0.084
0.357 3.368 2.393 0.048 0.071 0.041
0.275 3.171 2.199 0.05 0.074 0.087
0.484 2.967 2.172 0.051 0.075 0.053
0.205 3.217 2.262 0.064 0.095 0.055
0.228 3.282 2.119 0.062 0.092 0.126
0.604 2.86 2.155 0.032 0.048 0.04
0.51 3.078 2.264 0.045 0.067 0.033
0.011 3.378 2.088 0.051 0.076 0.09
0.132 3.379 2.382 0.041 0.061 0.036
0.081 3.554 2.249 0.061 0.091 0.12
0.061 3.276 2.059 0.061 0.09 0.077
0.218 2.964 2.142 0.047 0.07 0.056
0.454 2.545 2.138 0.048 0.072 0.109
0.465 3.013 2.353 0.052 0.077 0.026
0.314 3.257 2.267 0.051 0.075 0.027
0.424 3.033 2.086 0.053 0.078 0.15
0.24 3.1 2.189 0.063 0.093 0.079
0.239 3.302 2.233 0.046 0.069 0.052
0.438 3.181 2.294 0.047 0.07 0.054
-0.041 3.494 2.35 0.061 0.091 0.058
0.581 2.669 2.182 0.04 0.059 0.039
0.504 2.867 2.082 0.051 0.076 0.1
0.485 2.928 2.243 0.047 0.07 0.063
0.14 3.327 2.316 0.062 0.092 0.051
0.304 3.351 2.325 0.048 0.071 0.043
0.081 3.381 2.128 0.062 0.091 0.111
0.481 2.856 2.195 0.032 0.048 0.021
0.152 3.142 2.245 0.06 0.089 0.069
0.252 3.177 2.182 0.062 0.091 0.031
0.708 2.776 2.31 0.035 0.052 0.048
0.381 3.053 2.23 0.05 0.074 0.108
0.581 2.979 2.325 0.04 0.06 0.056
0.233 3.29 2.304 0.054 0.08 0.029
0.081 3.526 2.249 0.057 0.085 0.093
0.38 3.085 2.382 0.055 0.081 0.028
0.264 3.228 2.275 0.061 0.09 0.074
0.113 3.279 2.079 0.053 0.078 0.082
0.09 3.42 2.054 0.054 0.079 0.066
0.421 2.905 2.16 0.059 0.087 0.052
0.3 3.325 2.368 0.04 0.059 0.019
0.27 3.224 2.258 0.036 0.054 0.038
0.355 3.131 2.263 0.051 0.075 0.026
0.36 2.969 2.409 0.064 0.096 0.1
0.187 3.194 2.273 0.062 0.091 0.044
0.504 2.935 2.242 0.048 0.072 0.035
0.258 3.248 2.253 0.032 0.048 0.018
0.214 3.135 2.389 0.06 0.089 0.117
0.156 3.323 2.098 0.064 0.094 0.045
0.218 2.854 2.064 0.056 0.082 0.084
0.033 3.602 2.178 0.05 0.074 0.047
0.075 3.4 2.207 0.045 0.067 0.059
-0.099 3.814 2.135 0.062 0.091 0.053
0.298 3.121 2.214 0.057 0.085 0.025
0.423 3.241 2.359 0.047 0.069 0.073
0.11 3.429 2.121 0.06 0.089 0.077
0.372 3.124 2.281 0.053 0.079 0.024
0.432 3.022 2.16 0.051 0.075 0.046
0.631 2.895 2.38 0.032 0.048 0.042
0.441 2.927 2.184 0.052 0.076 0.061
0.652 2.601 2.1 0.049 0.072 0.045
0.181 3.408 2.365 0.05 0.075 0.035
-0.008 3.682 2.344 0.064 0.095 0.037
0.247 2.942 2.062 0.041 0.06 0.061
0.462 2.918 2.164 0.05 0.074 0.035
-0.065 3.546 2.066 0.047 0.07 0.094
0.337 3.228 2.447 0.05 0.074 0.07
0.19 3.138 2.103 0.043 0.064 0.045
0.442 3.159 2.293 0.036 0.053 0.078
0.203 3.051 2.142 0.059 0.088 0.086
0.085 3.451 2.098 0.056 0.083 0.125
0.393 2.987 2.192 0.058 0.085 0.046
0.352 2.954 2.142 0.062 0.092 0.101
0.375 3.017 2.166 0.032 0.048 0.057
0.105 3.385 2.257 0.062 0.093 0.073
0.119 3.019 2.07 0.033 0.049 0.05
0.416 3.054 2.382 0.032 0.048 0.019
0.335 3.265 2.212 0.049 0.072 0.04
0.916 2.742 2.467 0.032 0.048 0.035
-0.015 3.353 2.149 0.032 0.048 0.025
0.143 3.235 2.244 0.064 0.095 0.087
0.309 3.176 2.246 0.054 0.081 0.023
0.379 3.398 2.488 0.042 0.063 0.017
0.25 3.194 2.258 0.063 0.094 0.091
0.257 3.256 2.273 0.032 0.048 0.028
0.931 2.499 2.285 0.032 0.048 0.034
0.268 3.459 2.45 0.034 0.051 0.045
0.305 3.189 2.159 0.034 0.05 0.066
0.428 3.015 2.302 0.051 0.076 0.038
0.466 2.854 2.169 0.051 0.075 0.099
0.387 2.976 2.117 0.059 0.088 0.137
0.225 2.917 2.215 0.053 0.079 0.079
0.113 3.357 2.239 0.062 0.092 0.085
0.619 2.765 2.333 0.046 0.068 0.047
-0.12 3.805 2.224 0.037 0.055 0.026
-0.087 3.786 2.419 0.06 0.089 0.045
0.633 2.818 2.384 0.045 0.066 0.02
0.331 3.24 2.391 0.054 0.08 0.042
0.356 3.032 2.187 0.059 0.088 0.085
0.243 3.3 2.183 0.055 0.081 0.076
0.403 2.968 2.206 0.06 0.088 0.044
0.568 2.643 2.05 0.052 0.077 0.053
0.225 3.16 2.191 0.058 0.086 0.077
0.455 2.782 2.085 0.059 0.087 0.134
0.523 3.052 2.187 0.037 0.055 0.064
0.575 2.916 2.256 0.043 0.064 0.044
0.564 2.897 2.241 0.032 0.048 0.044
0.374 3.222 2.259 0.047 0.07 0.057
0.381 3.291 2.582 0.047 0.07 0.064
0.206 3.529 2.319 0.051 0.075 0.018
0.215 3.374 2.264 0.056 0.083 0.042
0.261 3.252 2.306 0.061 0.09 0.043
0.154 3.16 2.205 0.063 0.093 0.101
0.081 3.122 2.133 0.062 0.092 0.079
0.303 3.297 2.396 0.052 0.077 0.032
0.279 3.202 2.088 0.056 0.084 0.074
0.459 2.854 2.28 0.055 0.082 0.044
0.108 2.891 2.076 0.064 0.094 0.167
0.664 2.605 2.224 0.051 0.076 0.117
0.631 2.957 2.449 0.04 0.059 0.04
0.411 3.046 2.182 0.051 0.076 0.071
0.3 2.947 2.25 0.055 0.082 0.066
0.269 2.993 2.085 0.064 0.095 0.139
0.382 3.232 2.316 0.043 0.063 0.039
0.848 2.362 2.258 0.032 0.048 0.064
0.334 3.184 2.307 0.052 0.077 0.033
0.513 2.934 2.089 0.048 0.071 0.094
0.248 3.239 2.342 0.05 0.073 0.044
0.259 2.996 2.096 0.064 0.095 0.128
-0.02 3.757 2.179 0.062 0.091 0.06
0.438 2.775 2.2 0.06 0.089 0.139
0.877 2.801 2.493 0.032 0.048 0.024
0.188 3.288 2.214 0.06 0.088 0.083
0.598 2.589 2.144 0.054 0.08 0.102
0.518 2.848 2.209 0.055 0.082 0.091
0.441 2.999 2.3 0.038 0.056 0.037
0.478 3.202 2.241 0.032 0.048 0.041
0.491 3.029 2.247 0.046 0.068 0.059
0.682 2.645 2.26 0.048 0.071 0.101
0.548 2.833 2.193 0.05 0.075 0.093
0.158 3.25 2.13 0.043 0.064 0.063
0.455 3.081 2.296 0.045 0.067 0.05
0.691 2.993 2.403 0.032 0.048 0.012
0.227 3.371 2.409 0.053 0.079 0.076
0.099 3.518 2.278 0.059 0.088 0.03
0.462 2.849 2.243 0.061 0.09 0.054
0.141 3.381 2.234 0.06 0.088 0.097
0.276 2.942 2.068 0.063 0.093 0.082
0.539 3.034 2.394 0.043 0.063 0.081
0.266 3.112 2.26 0.062 0.093 0.042
0.36 2.94 2.062 0.05 0.075 0.064
0.389 3.192 2.248 0.047 0.07 0.105
0.46 2.917 2.212 0.05 0.074 0.101
0.128 3.344 2.362 0.059 0.088 0.067
0.046 3.473 2.16 0.064 0.094 0.076
0.203 3.232 2.327 0.037 0.055 0.039
0.551 2.798 2.315 0.056 0.083 0.07
0.293 3.011 2.32 0.062 0.092 0.031
0.478 3.066 2.354 0.042 0.062 0.035
0.333 3.072 2.059 0.057 0.084 0.091
0.43 3.058 2.29 0.053 0.079 0.053
0.507 2.966 2.448 0.049 0.073 0.06
0.378 2.967 2.236 0.057 0.085 0.077
0.857 2.784 2.449 0.032 0.048 0.036
0.475 2.783 2.285 0.057 0.084 0.037
0.499 3.032 2.311 0.032 0.048 0.042
0.267 3.23 2.298 0.058 0.085 0.061
0.242 3.29 2.155 0.058 0.086 0.071
0.416 3.186 2.228 0.042 0.062 0.063
0.433 3.04 2.211 0.053 0.078 0.034
0.329 3.118 2.231 0.057 0.085 0.061
0.387 3.193 2.248 0.05 0.074 0.046
0.134 3.359 2.051 0.064 0.095 0.06
0.524 2.938 2.435 0.05 0.073 0.044
0.523 3.005 2.247 0.041 0.061 0.053
0.364 3.137 2.402 0.049 0.073 0.053
0.303 3.069 2.104 0.045 0.067 0.074
0.379 2.996 2.302 0.06 0.088 0.095
0.009 3.271 2.136 0.06 0.088 0.069
0.326 3.193 2.157 0.055 0.082 0.074
0.39 2.87 2.336 0.06 0.089 0.058
0.155 3.574 2.381 0.054 0.08 0.022
0.402 3.027 2.263 0.055 0.081 0.033
0.345 2.998 2.254 0.05 0.074 0.059
0.169 3.269 2.285 0.044 0.065 0.041
0.215 3.235 2.138 0.037 0.055 0.054
0.272 3.428 2.427 0.047 0.07 0.021
0.314 2.897 2.171 0.032 0.048 0.035
0.606 2.762 2.174 0.049 0.072 0.026
0.454 3.009 2.279 0.053 0.079 0.031
0.489 3.021 2.281 0.051 0.076 0.032
0.309 3.16 2.264 0.055 0.082 0.079
0.361 3.109 2.18 0.047 0.069 0.047
0.435 2.712 2.123 0.044 0.065 0.057
0.267 2.889 2.091 0.045 0.066 0.085
0.508 3.003 2.388 0.044 0.065 0.024
0.177 3.191 2.079 0.063 0.093 0.103
0.251 2.974 2.052 0.032 0.048 0.036
0.525 2.864 2.353 0.046 0.068 0.055
-0.055 3.509 2.321 0.047 0.069 0.049
0.612 2.984 2.318 0.032 0.048 0.027
0.691 2.72 2.159 0.048 0.071 0.057
0.243 3.234 2.372 0.055 0.081 0.054
0.136 3.202 2.155 0.05 0.074 0.075
0.22 3.152 2.118 0.059 0.088 0.068
0.368 3.239 2.425 0.032 0.048 0.016
0.637 2.552 2.231 0.05 0.074 0.11
0.137 3.197 2.131 0.032 0.048 0.034
0.377 3.039 2.103 0.057 0.085 0.073
0.42 3.197 2.232 0.032 0.048 0.045
-0.012 3.648 2.199 0.045 0.066 0.034
0.525 3.001 2.264 0.045 0.067 0.053
0.238 3.142 2.236 0.051 0.076 0.042
0.534 3.129 2.341 0.043 0.063 0.031
0.508 3.066 2.393 0.046 0.068 0.062
0.586 2.844 2.347 0.048 0.071 0.036
0.237 3.235 2.21 0.035 0.052 0.057
-0.001 3.382 2.278 0.064 0.095 0.052
-0.077 3.473 2.129 0.055 0.082 0.071
0.486 3.059 2.321 0.042 0.062 0.037
0.464 2.685 2.073 0.059 0.087 0.1
0.395 3.086 2.285 0.049 0.073 0.033
0.337 3.14 2.248 0.053 0.078 0.029
0.184 2.97 2.219 0.055 0.081 0.093
0.219 3.259 2.117 0.062 0.092 0.095
0.577 2.911 2.308 0.04 0.059 0.073
0.337 3.016 2.264 0.061 0.09 0.049
0.315 3.09 2.292 0.062 0.092 0.098
0.576 3.084 2.38 0.038 0.057 0.032
0.281 3.202 2.252 0.05 0.074 0.048
0.075 3.416 2.281 0.061 0.09 0.061
0.09 3.479 2.282 0.057 0.085 0.078
0.348 3.15 2.288 0.032 0.048 0.021
0.141 3.312 2.079 0.06 0.089 0.187
0.11 3.54 2.059 0.057 0.085 0.117
0.348 2.997 2.178 0.04 0.059 0.051
0.567 2.48 2.135 0.059 0.087 0.078
0.204 3.348 2.436 0.051 0.075 0.034
0.376 2.984 2.112 0.059 0.087 0.072
0.141 3.466 2.32 0.059 0.087 0.045
0.141 3.605 2.551 0.035 0.052 0.022
0.201 3.131 2.078 0.062 0.092 0.169
0.161 3.227 2.204 0.064 0.095 0.054
0.45 2.941 2.262 0.04 0.059 0.041
-0.073 3.253 2.101 0.045 0.067 0.04
0.85 2.775 2.416 0.032 0.048 0.038
0.351 3.127 2.206 0.034 0.051 0.031
0.162 3.317 2.101 0.063 0.093 0.079
0.653 2.767 2.213 0.032 0.048 0.041
-0.102 3.658 2.223 0.062 0.092 0.095
0.396 2.805 2.267 0.044 0.065 0.052
0.193 3.275 2.229 0.052 0.076 0.077
0.201 3.488 2.44 0.048 0.071 0.039
0.449 2.964 2.1 0.033 0.049 0.044
0.458 2.805 2.281 0.039 0.058 0.048
0.778 2.735 2.456 0.032 0.048 0.03
-0.216 3.59 2.161 0.043 0.064 0.033
0.595 3.113 2.452 0.033 0.049 0.019
0.115 3.424 2.251 0.042 0.062 0.045
0.089 3.314 2.166 0.056 0.083 0.04
0.185 3.196 2.207 0.04 0.059 0.019
0.395 3.195 2.287 0.032 0.048 0.025
-0.002 3.019 2.077 0.049 0.073 0.039
0.078 3.132 2.105 0.06 0.089 0.064
0.453 3.091 2.355 0.04 0.06 0.034
0.622 2.722 2.173 0.032 0.048 0.025
0.45 3.127 2.346 0.039 0.058 0.035
0.032 3.638 2.416 0.04 0.059 0.019
0.216 3.344 2.251 0.056 0.084 0.02
0.486 3.04 2.312 0.044 0.065 0.028
-0.075 3.533 2.254 0.051 0.076 0.033
0.265 3.217 2.168 0.045 0.066 0.039
0.467 3.189 2.483 0.038 0.057 0.036
0.269 3.113 2.256 0.042 0.062 0.036
0.137 2.876 2.097 0.043 0.064 0.104
0.088 3.034 2.185 0.058 0.087 0.12
-0.288 3.707 2.055 0.062 0.092 0.092
0.208 3.26 2.308 0.04 0.059 0.04
0.43 3.218 2.379 0.036 0.054 0.038
0.365 2.964 2.102 0.041 0.061 0.108
0.079 3.313 2.221 0.032 0.048 0.015
0.424 3.244 2.486 0.032 0.048 0.031
0.606 3.071 2.486 0.032 0.048 0.019
0.439 3.073 2.339 0.048 0.071 0.025
0.234 2.944 2.287 0.032 0.048 0.017
0.371 3.205 2.313 0.032 0.048 0.021
0.127 3.352 2.321 0.042 0.063 0.049
0.462 3.08 2.325 0.051 0.076 0.044
0.287 3.222 2.293 0.036 0.053 0.038
0.568 3.059 2.412 0.032 0.048 0.017
0.522 3.054 2.373 0.044 0.065 0.037
0.178 2.998 2.111 0.049 0.072 0.036
0.196 3.354 2.244 0.032 0.048 0.022
0.66 2.662 2.101 0.033 0.049 0.06
0.409 3.177 2.267 0.04 0.059 0.055
0.15 3.321 2.085 0.032 0.048 0.019
0.285 3.254 2.368 0.034 0.05 0.025
0.206 3.199 2.32 0.042 0.063 0.026
0.551 2.995 2.39 0.044 0.065 0.022
0.31 3.009 2.295 0.063 0.093 0.036
0.443 2.819 2.125 0.045 0.066 0.075
0.319 2.991 2.33 0.061 0.091 0.039
0.519 2.736 2.255 0.051 0.076 0.084
0.513 2.856 2.213 0.052 0.078 0.082
0.342 3.102 2.264 0.032 0.048 0.037
0.083 3.424 2.173 0.063 0.094 0.073
0.524 2.468 2.193 0.048 0.071 0.115
0.196 3.236 2.219 0.057 0.085 0.078
-0.211 3.756 2.382 0.056 0.082 0.036
0.529 3.014 2.44 0.032 0.048 0.031
0.408 3.104 2.352 0.046 0.069 0.063
0.079 3.486 2.178 0.062 0.092 0.107
0.311 3.272 2.253 0.051 0.076 0.03
0.284 3.199 2.367 0.057 0.085 0.052
0.314 3.266 2.272 0.054 0.081 0.037
0.2 3.543 2.37 0.032 0.048 0.01
0.117 3.406 2.327 0.037 0.055 0.034
0.216 3.395 2.421 0.055 0.082 0.021
0.306 3.171 2.248 0.036 0.053 0.032
0.405 2.847 2.15 0.061 0.091 0.056
0.824 2.914 2.439 0.032 0.048 0.018
0.491 3.181 2.457 0.041 0.061 0.031
0.533 2.807 2.28 0.033 0.049 0.019
0.446 2.77 2.16 0.041 0.061 0.064
0.234 3.213 2.276 0.061 0.091 0.027
0.316 3.195 2.299 0.054 0.08 0.049
0.312 3.204 2.379 0.032 0.048 0.025
0.236 3.225 2.171 0.064 0.095 0.099
0.744 2.935 2.41 0.032 0.048 0.051
0.271 3.325 2.252 0.057 0.084 0.057
0.586 2.604 2.241 0.058 0.086 0.099
0.028 3.116 2.085 0.061 0.09 0.089
0.271 3.234 2.319 0.054 0.08 0.037
0.1 3.377 2.189 0.062 0.092 0.062
0.195 3.125 2.175 0.047 0.069 0.103
0.063 3.332 2.275 0.049 0.072 0.062
0.208 3.344 2.28 0.032 0.048 0.014
0.667 2.827 2.287 0.042 0.063 0.032
0.307 3.144 2.211 0.053 0.079 0.051
0.244 3.302 2.307 0.035 0.052 0.039
0.263 3.094 2.176 0.043 0.063 0.044
-0.127 3.373 2.099 0.064 0.094 0.151
-0.116 3.384 2.095 0.061 0.09 0.093
0.061 3.502 2.334 0.038 0.056 0.022
0.03 3.599 2.308 0.059 0.088 0.08
0.497 2.943 2.325 0.053 0.079 0.06
0.564 3.08 2.348 0.039 0.057 0.03
0.192 3.351 2.346 0.032 0.048 0.016
0.194 3.397 2.277 0.052 0.077 0.058
0.421 2.958 2.19 0.054 0.08 0.048
0.494 2.841 2.054 0.039 0.058 0.052
0.367 3.128 2.164 0.035 0.052 0.038
0.474 2.952 2.267 0.05 0.075 0.041
0.302 3.155 2.324 0.059 0.088 0.044
-0.232 3.649 2.192 0.063 0.093 0.051
0.445 3.024 2.31 0.052 0.077 0.044
0.499 2.939 2.286 0.04 0.06 0.052
0.267 3.214 2.27 0.034 0.051 0.03
0.375 3.249 2.51 0.032 0.048 0.015
0.372 3.063 2.365 0.042 0.063 0.044
0.405 2.865 2.236 0.043 0.064 0.111
0.599 2.855 2.109 0.046 0.068 0.092
0.393 2.907 2.088 0.062 0.091 0.115
0.092 3.383 2.177 0.053 0.079 0.06
0.433 3.146 2.298 0.032 0.048 0.016
0.58 3.034 2.465 0.036 0.053 0.037
0.372 3.173 2.422 0.045 0.066 0.04
0.295 3.011 2.187 0.051 0.075 0.06
0.228 3.099 2.217 0.059 0.088 0.069
0.405 3.084 2.329 0.054 0.081 0.091
0.66 2.905 2.319 0.036 0.053 0.037
0.562 3.189 2.38 0.037 0.054 0.029
0.46 2.86 2.184 0.049 0.072 0.109
0.265 3.025 2.235 0.045 0.066 0.05
0.332 3.153 2.346 0.036 0.053 0.029
0.121 3.382 2.213 0.056 0.083 0.056
0.427 3.087 2.418 0.037 0.055 0.037
0.046 3.371 2.314 0.055 0.081 0.037
0.369 2.849 2.123 0.043 0.063 0.091
0.027 3.266 2.216 0.054 0.08 0.073
0.354 3.144 2.263 0.046 0.069 0.049
