"logRe_J" "logIe_J" "logsigma" "elogRe_J" "elogIe_J" "elogsigma"
0.522 3.011 2.464 0.048 0.071 0.061
0.734 2.87 2.427 0.037 0.054 0.036
0.455 2.555 2.069 0.032 0.048 0.042
0.124 3.525 2.268 0.059 0.088 0.038
0.492 2.94 2.355 0.054 0.08 0.052
0.099 3.357 2.348 0.032 0.048 0.03
0.082 3.442 2.193 0.045 0.066 0.077
0.315 3.191 2.342 0.058 0.087 0.038
0.486 2.722 2.091 0.061 0.091 0.151
0.316 3.192 2.27 0.032 0.048 0.018
0.433 2.887 2.18 0.049 0.073 0.045
0.236 3.226 2.287 0.042 0.062 0.037
0.339 3.161 2.182 0.058 0.086 0.046
0.405 3.112 2.319 0.054 0.08 0.044
0.348 2.959 2.28 0.053 0.079 0.078
0.321 3.311 2.321 0.044 0.065 0.023
0.439 2.968 2.375 0.05 0.074 0.042
0.346 3.08 2.193 0.056 0.083 0.062
0.034 3.269 2.099 0.064 0.094 0.129
0.34 3.22 2.327 0.055 0.081 0.05
0.326 3.361 2.39 0.049 0.073 0.027
0.319 3.218 2.26 0.044 0.065 0.05
0.275 3.318 2.316 0.055 0.081 0.061
0.209 3.195 2.207 0.046 0.068 0.044
0.329 3.283 2.379 0.054 0.079 0.036
0.295 3.333 2.347 0.05 0.074 0.036
0.389 3.118 2.28 0.055 0.081 0.041
0.264 3.228 2.217 0.04 0.059 0.025
0.582 2.691 2.311 0.055 0.082 0.049
0.071 3.356 2.24 0.059 0.088 0.109
0.351 3.066 2.44 0.032 0.048 0.025
0.41 3.1 2.102 0.054 0.079 0.095
0.381 3.269 2.364 0.032 0.048 0.014
0.57 2.934 2.238 0.048 0.071 0.065
0.585 2.994 2.419 0.039 0.057 0.025
0.62 2.853 2.087 0.042 0.063 0.082
0.568 2.805 2.142 0.054 0.08 0.101
0.384 2.954 2.139 0.061 0.091 0.111
0.591 2.823 2.061 0.046 0.068 0.101
0.452 3.175 2.297 0.032 0.048 0.031
0.59 2.75 2.399 0.053 0.078 0.063
0.339 3.361 2.369 0.036 0.053 0.019
0.166 3.453 2.287 0.059 0.088 0.055
0.256 3.247 2.078 0.06 0.089 0.077
0.61 2.641 2.14 0.057 0.085 0.136
0.538 2.779 2.095 0.056 0.083 0.087
0.378 2.919 2.291 0.054 0.08 0.036
0.441 3.177 2.423 0.049 0.072 0.052
0.396 3.048 2.093 0.049 0.072 0.087
0.15 3.305 2.071 0.054 0.081 0.061
0.497 3.212 2.315 0.043 0.063 0.049
0.479 3.149 2.273 0.043 0.063 0.034
-0.096 3.242 2.14 0.058 0.086 0.039
0.4 3.145 2.234 0.054 0.079 0.045
0.273 3.122 2.199 0.057 0.084 0.082
0.314 3.282 2.428 0.032 0.048 0.023
0.21 3.262 2.355 0.058 0.086 0.049
0.095 3.468 2.234 0.051 0.076 0.031
0.599 2.867 2.348 0.051 0.075 0.058
0.031 3.398 2.106 0.042 0.062 0.075
0.195 3.631 2.297 0.049 0.073 0.028
0.077 3.409 2.231 0.062 0.092 0.059
0.428 3.03 2.3 0.053 0.078 0.085
0.12 3.664 2.402 0.055 0.082 0.053
0.389 3.019 2.254 0.057 0.085 0.062
0.509 2.884 2.216 0.045 0.067 0.1
0.433 3.089 2.271 0.052 0.077 0.03
0.481 2.75 2.18 0.061 0.09 0.047
0.293 3.358 2.352 0.053 0.078 0.039
0.494 2.893 2.154 0.056 0.084 0.068
0.248 3.098 2.139 0.058 0.086 0.078
0.565 2.861 2.203 0.044 0.065 0.056
0.722 2.943 2.431 0.032 0.048 0.03
0.261 3.242 2.382 0.054 0.08 0.055
0.539 3.178 2.435 0.041 0.061 0.041
0.258 3.3 2.279 0.059 0.087 0.041
0.005 3.213 2.112 0.051 0.076 0.137
0.067 3.142 2.235 0.032 0.048 0.045
0.187 3.248 2.249 0.035 0.052 0.021
0.351 2.895 2.11 0.046 0.068 0.041
0.477 2.979 2.317 0.032 0.048 0.016
0.082 3.39 2.276 0.062 0.092 0.103
0.257 3.242 2.141 0.035 0.052 0.09
-0.284 3.583 2.276 0.06 0.088 0.036
0.495 3.016 2.363 0.05 0.074 0.041
0.365 2.948 2.231 0.06 0.089 0.088
0.402 3.186 2.341 0.052 0.077 0.036
0.094 3.489 2.237 0.039 0.057 0.061
0.244 3.423 2.439 0.032 0.048 0.02
0.677 2.658 2.217 0.044 0.065 0.062
0.286 3.082 2.197 0.044 0.064 0.038
0.268 3.304 2.35 0.058 0.086 0.038
0.465 3.278 2.431 0.042 0.062 0.022
0.856 2.363 2.167 0.046 0.069 0.105
0.334 3.115 2.085 0.059 0.087 0.12
0.062 3.567 2.343 0.062 0.092 0.054
0.154 3.073 2.129 0.045 0.066 0.04
0.547 3.044 2.371 0.036 0.054 0.027
-0.282 3.7 2.237 0.061 0.09 0.066
0.522 2.513 2.062 0.059 0.088 0.127
0.371 3.008 2.369 0.059 0.087 0.047
0.448 3.004 2.321 0.053 0.079 0.056
0.246 3.333 2.291 0.05 0.074 0.03
0.283 3.112 2.089 0.058 0.085 0.128
0.279 3.202 2.245 0.042 0.062 0.042
0.027 3.327 2.232 0.059 0.087 0.058
0.277 3.315 2.321 0.05 0.073 0.049
0.192 3.024 2.087 0.044 0.065 0.05
0.15 3.372 2.371 0.059 0.087 0.048
0.152 3.268 2.315 0.063 0.093 0.058
0.049 3.485 2.547 0.062 0.092 0.12
0.048 3.33 2.143 0.049 0.072 0.047
0.563 2.878 2.229 0.034 0.05 0.043
0.254 2.945 2.126 0.064 0.095 0.07
0.491 3.011 2.137 0.045 0.066 0.069
0.058 3.409 2.249 0.039 0.058 0.016
0.52 2.812 2.143 0.049 0.073 0.062
-0.193 3.358 2.08 0.051 0.076 0.065
0.055 3.288 2.108 0.063 0.093 0.101
0.008 3.546 2.361 0.032 0.048 0.025
0.21 3.454 2.401 0.032 0.048 0.021
0.332 3.241 2.334 0.052 0.077 0.067
0.284 2.896 2.089 0.045 0.067 0.081
0.376 3.225 2.444 0.046 0.069 0.027
0.11 3.396 2.306 0.061 0.091 0.058
0.039 3.341 2.12 0.062 0.092 0.103
0.176 2.998 2.109 0.038 0.056 0.058
0.165 3.028 2.052 0.037 0.056 0.07
0.684 2.958 2.381 0.032 0.048 0.016
0.013 3.36 2.079 0.056 0.083 0.13
0.372 3.079 2.287 0.048 0.071 0.045
0.368 2.906 2.124 0.058 0.086 0.133
0.317 3.064 2.208 0.05 0.075 0.043
0.299 3.182 2.203 0.053 0.079 0.081
0.146 3.244 2.205 0.063 0.094 0.109
0.249 3.359 2.395 0.032 0.048 0.04
0.03 3.552 2.486 0.059 0.087 0.076
-0.038 3.461 2.101 0.056 0.082 0.06
0.225 3.273 2.381 0.062 0.092 0.039
0.406 3.336 2.542 0.043 0.063 0.076
0.038 3.049 2.105 0.047 0.07 0.054
0.186 3.243 2.253 0.046 0.069 0.057
0.095 3.238 2.163 0.039 0.058 0.05
0.664 2.625 2.155 0.051 0.076 0.052
0.41 3.078 2.142 0.04 0.06 0.048
0.251 3.396 2.303 0.043 0.064 0.041
0.233 3.089 2.229 0.063 0.093 0.061
0.482 2.94 2.128 0.048 0.071 0.055
0.447 3.016 2.258 0.051 0.076 0.031
0.521 2.862 2.325 0.047 0.07 0.038
0.217 3.262 2.17 0.053 0.078 0.047
0.26 3.215 2.232 0.054 0.08 0.092
0.429 2.832 2.163 0.062 0.092 0.128
0.217 3.296 2.327 0.032 0.048 0.021
0.091 3.301 2.099 0.063 0.094 0.102
0.616 2.696 2.236 0.032 0.048 0.043
0.593 2.863 2.321 0.048 0.071 0.023
0.603 2.876 2.379 0.044 0.065 0.075
0.325 3.023 2.083 0.057 0.084 0.076
0.558 2.547 2.204 0.057 0.085 0.054
0.527 3.076 2.356 0.038 0.057 0.032
0.413 3.076 2.236 0.053 0.078 0.054
-0.14 3.332 2.053 0.052 0.077 0.052
0.444 3.101 2.233 0.041 0.06 0.048
0.186 3.354 2.298 0.062 0.091 0.044
